Actual Track Score,CNN Prediction,Random Forest Prediction,XGBoost Prediction
63.9,55.185383,58.218333314853346,54.868668
44.6,45.64746,56.574748320477205,60.603527
51.4,57.450626,70.42700159419047,88.08468
70.6,43.688786,59.7116896659593,66.22996
43.4,34.55635,66.61114774178195,64.70404
74.5,35.202427,64.55917739528329,66.34385
21.5,15.78173,83.49917560437332,97.25273
152.1,78.42514,64.52982793750945,68.45778
55.7,44.390347,77.13900732057925,74.50858
21.7,19.82527,88.43505871154146,86.50705
25.9,20.680841,57.085850440746086,54.422337
38.8,25.700827,85.4069141119778,100.696884
21.9,26.6886,76.94867940806824,78.354774
68.5,38.50931,103.08913384338489,90.28867
39.8,40.63284,77.93678723722563,80.043304
28.3,34.014133,84.08183323777796,79.041214
27.0,29.76984,79.14083552264928,95.89287
62.9,57.719448,79.77446775815386,85.81796
32.4,28.777403,81.02375785437552,86.85302
41.3,35.561596,76.45649849320858,76.85615
111.3,111.06729,73.59095543549289,72.78436
22.3,29.891191,73.71261951142252,75.82516
20.2,4.067086,82.92001597072438,79.22096
35.2,25.13851,78.33847459268488,77.89028
19.5,23.229967,74.6855883654171,78.95157
20.3,20.585423,74.19269023189304,71.70256
31.0,29.99876,67.20626314678574,101.37732
23.1,19.791967,60.570637834803236,63.576366
21.5,25.195139,78.1367204033196,82.98822
28.0,30.540945,88.16890379617685,84.75848
37.3,27.740782,70.05695308547541,64.12786
28.5,31.086494,61.11677497396505,65.123764
20.0,31.347334,74.61956874416433,81.4091
43.6,33.55804,50.015681114256324,52.09024
25.7,23.757622,77.90577246688697,79.038635
76.0,26.901829,88.71766276192015,68.750656
19.7,26.075506,67.04596594436197,66.22891
23.9,24.479425,72.05924205738404,73.4574
26.0,27.326094,54.82789660522252,70.06487
28.0,32.929455,75.40904810924356,77.11219
46.8,61.023487,60.514014790192824,77.228386
21.2,24.195047,61.99795567943303,63.649208
139.0,58.580753,80.91947803604808,83.100395
46.4,42.09846,74.08338235152863,72.89031
50.5,40.514866,48.429741310360995,60.665356
38.6,32.265854,51.761891535987694,65.030396
38.7,43.35985,56.32629952777504,53.020397
73.5,43.19796,77.21302621430472,81.7662
64.7,56.745476,85.8216903485405,75.63674
29.7,32.504604,71.49863517470736,72.49197
21.0,21.58506,82.8546798153754,78.778496
22.7,33.675365,51.71981367889268,49.1081
61.3,72.027725,64.72792682841288,70.36419
36.3,39.934063,76.07926103371273,81.358475
28.9,22.80109,52.941954002155825,47.8056
22.1,35.216305,94.42128369836256,70.196266
106.9,83.45575,60.207134032943216,53.356827
59.5,55.64912,80.609021608577,81.40506
22.8,15.088463,63.319413821626114,58.398624
28.8,22.995535,57.583834901206465,53.039955
26.8,36.741867,63.209779422334975,66.01266
27.5,47.501247,63.593543927935606,65.603775
43.5,41.0108,68.21354977471032,85.86997
36.1,34.25771,69.33159637618107,66.785
24.1,26.754045,75.06003064892647,73.155914
34.7,38.884205,77.25778314980792,72.48256
29.8,33.806873,63.847104491034784,84.74202
97.6,64.08282,65.29136340762616,52.558407
26.3,21.85925,83.9591887584236,70.515625
30.2,33.69927,67.35370292092837,68.652664
28.6,38.41178,83.40645958194858,78.89759
49.3,69.93483,77.38777904170162,81.24709
26.5,25.882864,62.92320352986171,72.30671
96.2,75.47492,67.44194945789916,79.25845
63.6,55.79868,63.99855634976213,56.669987
30.6,16.868143,172.1730000000003,67.138054
53.6,37.991245,60.36544572856885,65.14103
34.4,34.879612,62.41007631374866,56.727795
53.5,40.96961,54.369495208585086,58.12427
23.6,27.248852,51.17825860741581,55.28237
54.0,30.572544,52.435408904324056,46.288654
25.3,9.836159,75.35120512114021,69.12384
68.7,53.136562,69.11241515151512,68.21454
32.3,37.4956,63.499425002088635,80.24992
26.3,29.880568,73.75663965372686,74.35183
36.1,35.80656,60.80915636804656,59.38593
71.1,80.33648,75.30595902796125,69.71222
101.8,81.3355,73.04989991140565,76.60633
27.4,-11.688189,78.19261683677797,81.88381
31.2,25.019001,75.49168968253971,71.56719
38.9,48.19064,61.83857391139779,67.0755
56.2,65.28664,51.83118576057492,46.49917
41.4,45.055428,68.11660223689759,72.73519
29.5,23.736727,87.91667549910716,95.60438
21.2,16.097155,61.090091649591486,65.19343
205.7,138.29678,58.912126756309576,58.341373
20.3,41.44517,72.89755578611906,67.75995
20.6,20.234823,66.2764235243677,65.71987
30.1,25.340422,47.62192075839054,55.549053
98.4,72.34624,64.70405931026629,73.935036
26.5,26.287878,69.90757839012822,61.84388
76.2,44.487316,54.05276245077868,56.19971
73.2,77.48843,56.16057366955136,53.077892
35.5,39.631596,62.87177646638258,64.72115
64.3,37.432217,42.58549032506097,42.21082
22.3,27.423784,52.7190441438308,52.753967
57.3,52.577713,57.06101356906113,52.94719
35.4,36.592926,73.35397602239055,77.493805
22.5,26.44621,55.966022784554795,57.512554
31.4,35.852898,67.43044119742531,61.016785
20.6,24.458529,65.06880997896208,63.310482
28.6,34.98415,69.4119337234344,67.77319
30.4,31.2494,62.04884311379951,68.754974
20.3,24.083906,71.82655321610936,56.704697
57.4,59.73675,55.83081007449728,50.10255
21.9,23.15671,43.52989652653662,46.196873
144.5,70.77596,69.75120036993026,81.84167
19.8,20.84904,84.67520885820868,87.23423
24.5,31.79452,51.83338063906158,52.63889
21.6,18.749792,54.63710320022173,64.098114
22.6,23.986422,67.44726891241726,62.989094
23.1,28.146662,53.697478347655895,49.16593
25.0,23.043982,73.59015572061033,72.57186
29.4,31.841177,65.63553631040557,69.10723
22.5,12.985767,66.63305213014317,60.511986
21.6,27.266272,60.27245158531766,54.296783
33.1,29.401731,69.5061210267513,84.02768
34.1,21.325335,62.74534971508462,70.3028
64.4,80.6092,68.63497146882409,93.36006
61.4,48.501385,66.36319843241955,67.729614
30.9,28.530222,44.358870865759656,46.586155
19.6,31.159372,52.64461215127354,56.517868
23.8,28.447504,59.821079067170324,50.568108
42.2,38.69806,54.996554839533246,47.864487
36.7,48.95885,66.07221252234054,63.501587
53.3,46.106174,73.50351302227587,90.128075
29.8,29.825163,69.70318150492221,70.78349
73.4,58.397823,42.10790488949848,47.58664
58.3,63.17853,67.93029905502104,59.599674
20.5,18.05381,62.2352860696326,58.512253
31.7,38.32527,53.79590518121032,53.196617
58.9,72.33385,54.72408813709947,44.943947
30.6,32.34027,61.531346505025056,60.75871
19.9,27.087595,56.79115383645219,50.899784
33.7,31.720888,74.87537329684052,86.84763
39.8,35.88362,71.54547790101122,62.54633
21.3,25.717777,75.22839008641138,81.68786
28.5,29.98857,66.33641938919321,67.48896
84.6,151.34012,65.8798800814943,71.71633
27.0,28.484837,57.18029863616198,61.149002
25.8,23.748455,48.61271353402091,44.19621
36.7,32.597996,68.3479857918377,64.715546
19.9,27.502115,50.87271833042245,49.243725
39.9,40.15044,52.13216688128558,51.052265
23.7,36.374153,70.81639589464794,63.732944
21.2,21.092833,64.77072111400504,69.67863
20.9,12.388399,48.12655592816129,53.404114
42.8,53.69344,49.00493927069925,49.23682
25.0,26.841831,53.45207081982217,43.323048
34.3,30.77046,67.71668359782726,57.47792
56.6,43.410557,107.12086494708988,83.147575
34.4,11.235094,58.93435747429349,66.60045
19.8,22.248114,49.57782068460836,56.542004
37.7,38.79288,63.75518009042521,72.05975
23.3,21.679256,65.07196912152179,60.210308
19.9,19.595808,66.1186394503098,61.14058
54.8,45.535725,62.63795031324011,64.14346
22.0,25.415602,64.34459609574363,68.39345
49.1,35.088787,60.60364555316724,52.389027
41.1,61.263805,46.4973974990171,50.239456
23.8,30.1794,33.77696866374401,36.820793
21.8,21.459427,66.74885937118904,60.38249
24.2,28.58661,60.95285703869424,77.30018
64.2,68.63027,65.49083065558318,62.64715
33.7,32.50678,58.77912577591439,64.33213
58.3,45.454845,59.8742242512584,63.293724
31.7,27.035769,47.38544516318847,44.62148
22.2,24.431547,64.83950749602948,65.039375
116.9,104.5383,33.68662416632558,40.80474
23.0,21.401934,58.10891553086007,63.24416
41.9,51.41106,64.87187070537829,65.46503
37.8,34.868397,64.05934434938251,60.082058
39.7,28.254549,62.44687428214463,64.523224
73.9,72.28323,56.03773655255956,56.22155
37.9,32.863323,67.65327193488775,64.19876
36.1,36.304375,51.57244781250834,53.986633
25.8,34.61353,67.84460590917085,70.01755
24.3,30.90336,48.14628687531758,49.364235
39.1,28.576372,55.54538595046237,65.29373
65.5,77.03035,44.21478642295504,45.4201
19.5,19.952074,66.04777437577161,67.20962
45.1,59.86516,66.28589170609018,64.85953
26.1,36.236774,60.50552615714811,59.223988
44.0,22.293062,31.818724545989497,30.688353
47.4,46.78641,59.51306988633052,58.840664
29.6,26.001852,65.21151725996761,65.14223
66.8,55.765747,68.63285327209749,74.20252
28.7,38.32138,54.36475422437082,45.336864
54.9,32.640068,55.43541159363319,64.52414
46.5,42.032883,59.8258164050124,68.6388
56.2,38.190533,63.2760993003685,77.77592
21.7,30.371546,40.4380798669616,43.72251
30.3,34.778694,56.532906555731145,59.630062
26.0,29.704023,54.62244982240165,55.337624
39.1,36.70536,64.71989208467829,62.882923
27.1,25.177908,72.97591590089962,65.29009
148.9,93.29462,60.02908558824776,76.85491
29.8,17.907051,55.749331331888655,46.775948
21.4,34.21982,40.36607377425421,41.782085
22.9,21.543074,62.38700139313264,76.605354
26.7,33.928787,53.983898882455016,53.45671
163.1,107.00568,53.17538349121614,46.63282
28.9,32.73921,61.14738648823553,80.96745
22.3,22.031282,48.00518432289227,40.45311
32.8,25.988749,65.15125911953864,71.78652
30.7,35.748085,63.84767079415315,64.512276
25.7,27.69305,52.11484616739786,53.323067
38.6,46.89923,50.62341940697989,45.715942
33.6,46.61381,61.464875022781186,60.967705
75.1,40.209446,92.99030194923176,66.75841
19.7,22.80646,58.48219391220146,60.801666
22.5,25.193438,61.08777613010273,79.58001
39.8,42.72536,58.67730665701559,62.980362
21.6,31.756163,56.84710032540216,58.365334
29.8,34.847332,51.90020177885665,49.735287
31.8,21.551096,54.7162925563096,57.81957
66.2,61.63274,55.69739725173526,55.338978
31.1,30.187208,38.285361492596685,39.09913
59.2,54.264736,62.93904205721083,65.02992
31.6,25.395016,56.57623835084845,58.891182
57.1,14.492707,52.287223596573014,45.365387
23.6,23.380926,62.95381103163938,65.65221
55.4,43.94061,55.48664494795155,50.09722
31.8,20.312757,66.10657173632997,63.693237
37.1,36.965405,64.09081339728613,54.449043
39.2,37.751743,45.359266401845204,53.538044
41.6,42.979534,44.59052331660898,36.645103
44.2,45.51988,56.84404808852927,55.256012
22.4,22.829556,43.37992143723796,39.28921
20.5,26.0878,44.56760774974087,44.835567
21.8,22.173729,59.36983399252464,62.178185
21.4,22.997326,50.82480658756488,53.51548
22.2,25.301813,51.112285296176815,58.563145
62.5,59.33594,66.79128816363783,76.9818
25.5,24.458448,73.99110781926922,74.08546
112.6,103.45434,46.45220112226895,60.205463
35.7,35.279236,54.13123120056196,52.367203
45.2,47.130894,34.155104937952096,37.251244
26.8,30.274488,42.24831345816338,39.18763
